Obec,Unnamed: 1,Druh dokumentace,Název dokumentace,Číslo dokumentace,Zahájení prací - schválení / rozhodnutí o pořízení 101,Zadání - zahájení projednání 103,Zadání - ukončení projednání 104,Zadání - schválení 105,Koncept řešení - odevzdání 106,Koncept řešení - zahájení projednání 107,Koncept řešení - ukončení projednání 108,Návrh - odevzdání 112,Návrh - zahájení projednání 113,Návrh - ukončení projednání 114,Návrh – stanovisko krajského úřadu / nadřízeného orgánu územního plánování 115,Návrh – vydání / schválení 116,Návrh - nabytí účinnosti 117
,Ivanovice na Hané,Územní plán,Změna č. 2 ÚP Ivanovice na Hané,4877544605,18.09.2014,,,11.12.2014,,,,,02.07.2015,,,10.12.2015,31.12.2015
,Ivanovice na Hané,Územní plán,Změna č. 1 ÚP Ivanovice na Hané,4877544602,20.04.2011,14.09.2011,31.10.2011,15.12.2011,,,,,15.05.2012,,12.09.2012,13.12.2012,01.01.2013
,Ivanovice na Hané,Územní plán,Změna č.3 ÚP Ivanovice na Hané,4877544601,,,,08.03.2018,,,,,,,,11.12.2018,01.01.2019
,Ivanovice na Hané,Územní plán,Změna č.5 ÚP Ivanovice na Hané,4877544604,18.03.2021,,,,,,,,,,,17.03.2022,04.04.2022
,Ivanovice na Hané,Územní plán,Změna č.6 ÚP Ivanovice na Hané,973891950524,14.09.2022,,,,,,,,,,,05.10.2023,25.10.2023
,Ivanovice na Hané,Územní plán,Změna č.7 ÚP Ivanovice na Hané,973891953567,04.12.2023,,,07.03.2024,,,,,20.06.2024,,,06.03.2025,26.03.2025
Doubravník,,Územní plán,Územní plán Doubravník,85302369,16.12.2010,02.02.2011,19.04.2011,28.04.2011,,,,21.05.2012,16.05.2012,30.01.2013,08.11.2012,06.06.2013,02.08.2013
,Doubravník,Územní plán,Změna č. 1 ÚP Doubravník,973891951149,15.12.2022,,,,,,,16.12.2022,19.12.2022,,,,
Býkovice,,Územní plán obce,Územní plán obce Býkovice,51656740,20.05.1999,01.09.1999,,11.05.2000,26.10.2000,14.02.2001,,14.08.2002,02.10.2002,,23.05.2005,07.07.2005,23.07.2005
Postoloprty,,Územní plán,Územní plán Postoloprty,1220341,14.05.2008,01.06.2010,28.01.2011,16.02.2011,,,,,03.05.2012,27.08.2012,02.01.2013,13.11.2013,12.12.2013
,Postoloprty,Územní plán,Změna č.1 ÚP Postoloprty,1220341001,13.04.2016,07.09.2016,,28.02.2018,,,,13.11.2018,14.11.2018,,05.03.2019,06.06.2019,10.07.2019
Veselí nad Moravou,,Územní plán,Územní plán Veselí nad Moravou,13422794,14.12.2009,14.01.2011,28.02.2011,14.03.2011,,,,,17.04.2013,,,16.03.2015,24.04.2015
,Veselí nad Moravou,Územní plán,Změna č. 3,1342279404,02.02.2018,08.02.2018,,19.03.2018,,,,,18.04.2019,,12.07.2019,02.03.2020,26.03.2020
,Veselí nad Moravou,Územní plán,Změna č. 4,1342279403,14.10.2020,02.11.2020,,21.12.2020,,,,,28.03.2022,,,12.12.2022,04.01.2023
,Veselí nad Moravou,Územní plán,Změna č. 2,1342279402,14.03.2016,19.04.2016,,13.06.2016,,,,,19.09.2016,,02.01.2017,20.03.2017,19.04.2017
,Veselí nad Moravou,Územní plán,změna č. 5,973891952724,26.09.2023,13.10.2023,,14.12.2023,,,,,13.06.2024,,07.11.2024,17.12.2024,04.01.2025
,Veselí nad Moravou,Územní plán,Změna č. 6,973891954841,,,,,,,,,,,,,
Kuřimské Jestřabí,,Územní plán,Územní plán Kuřimské Jestřabí,73022096,19.01.2005,02.11.2005,03.01.2006,18.03.2006,,,,16.03.2009,27.04.2009,15.06.2011,06.10.2009,11.11.2011,01.12.2011
Růžďka,,Územní plán,Územní plán Růžďka ,28094119,20.12.2006,03.02.2009,,20.05.2009,,,,,31.07.2012,,13.12.2012,27.08.2014,16.09.2014
Bystřička,,Územní plán,Územní plán Bystřička ,36123294,29.01.2008,02.02.2009,,25.03.2009,,,,,02.08.2012,,13.06.2013,24.03.2015,09.04.2015
,Bystřička,Územní plán,Změna č. 1,3612329404,13.03.2019,,,24.06.2020,,,,,,,,,
Valašské Klobouky,,Územní plán,Územní plán Valašské Klobouky,76218812,02.03.2009,31.03.2009,27.05.2009,29.06.2009,,,,30.06.2010,24.02.2011,11.11.2014,23.06.2011,16.12.2014,07.01.2015
,Valašské Klobouky,Územní plán,změna č. 2a územního plánu,7621881202,,,,24.06.2020,,,,31.08.2020,05.03.2021,07.03.2022,25.06.2021,07.03.2022,29.03.2022
,Valašské Klobouky,Územní plán,Změna č. 1a územního plánu,7621881201,,,,20.04.2016,,,,03.08.2016,08.03.2017,28.05.2018,31.05.2017,20.06.2018,12.07.2018
,Valašské Klobouky,Územní plán,Změna č. 3 územního plánu,973891954119,22.05.2024,,,22.05.2024,,,,,,,,,
Hošťálková,,Územní plán,Územní plán Hošťálková ,91128175,27.01.2009,18.02.2009,,09.06.2009,,,,,25.10.2011,,07.03.2012,27.12.2012,24.01.2013
,Hošťálková,Územní plán,Změna č. 2 ,9112817502,15.12.2015,02.03.2016,06.04.2016,19.04.2016,,,,,,,,23.08.2017,07.09.2017
,Hošťálková,Územní plán,Změna č. 1,9112817501,31.01.2014,19.02.2014,,08.04.2014,,,,,05.05.2014,,28.07.2014,17.02.2015,05.03.2015
Kateřinice,,Územní plán,Územní plán Kateřinice,54206484,12.12.2006,16.10.2008,,29.12.2008,,,,,22.09.2009,,01.03.2010,19.08.2010,23.09.2010
Zábeštní Lhota,,Územní plán,Územní plán Zábeštní Lhota,19225055,10.12.2008,12.08.2009,,23.11.2009,,,,,18.08.2010,,28.01.2011,03.05.2011,24.05.2011
Čilec,,Územní plán,Územní plán Čilec,54569643,21.02.2006,10.03.2008,,19.11.2008,,,,,14.08.2009,,10.11.2009,01.06.2010,22.06.2010
Doudleby,,Územní plán,Územní plán Doudleby,15308780,25.04.2007,06.08.2008,03.10.2008,13.10.2008,,,,14.08.2009,18.08.2009,,30.12.2009,27.09.2010,29.10.2010
,Doudleby,Územní plán,Změna č. 1 Územního plánu Doudleby,1530878001,31.03.2011,,,04.06.2012,,,,,02.05.2013,,18.07.2013,29.04.2014,20.05.2014
,Doudleby,Územní plán,Změna č. 2 Územního plánu Doudleby,1530878003,17.02.2016,,,,,,,,,,,,04.01.2021
,Doudleby,Územní plán,Změna č. 3 ÚP Doudleby,973891954822,02.09.2022,,,,,,,,,,,,23.04.2025
Citonice,,Územní plán,Územní plán Citonice,20898074,,03.03.2011,,02.08.2011,,,,,24.11.2011,30.07.2012,01.02.2012,06.09.2012,26.09.2012
Přeskače,,Územní plán,Územní plán Přeskače,32224673,,25.02.2011,30.03.2011,20.04.2011,,,,,15.08.2011,,08.11.2011,08.02.2012,29.02.2012
Staňkovice,,Územní plán,Územní plán Staňkovice,58776491,04.02.2010,02.08.2010,,14.02.2011,,,,23.09.2011,31.10.2011,22.12.2011,27.07.2012,03.12.2012,22.12.2012
,Staňkovice,Územní plán,Změna č. 1 ÚP Staňkovice,5877649101,19.10.2016,,,07.06.2017,,,,,,,06.08.2019,26.08.2020,25.12.2020
,Staňkovice,Územní plán,Změna č. 2 ÚP Staňkovice,973891951691,21.03.2022,,,06.04.2022,,,,,,,,,09.10.2024
Ves Touškov,,Územní plán,Územní plán Ves Touškov,11027164,26.11.2007,14.09.2009,15.10.2009,26.11.2009,,,,27.07.2010,20.12.2010,20.01.2011,22.04.2011,14.12.2012,02.01.2013
,Ves Touškov,Územní plán,Změna č. 1 územního plánu Ves Touškov,1102716401,,,,21.02.2017,,,,,,,,,06.02.2021
Lisov,,Územní plán,Územní plán Lisov,17733402,14.07.2008,07.05.2010,,09.10.2010,,,,,16.01.2013,,,15.06.2013,11.07.2013
Štichov,,Územní plán,Územní plán Štíchov,56286257,13.01.2009,16.04.2010,17.04.2010,22.07.2010,,,,,16.08.2011,06.10.2011,07.02.2012,31.05.2014,24.06.2014
,Štichov,Územní plán,Změna č. 1 Územního plánu,973891950557,10.12.2021,,,10.08.2022,,,,,,,,,
Hradec,,Územní plán,Územní plán Hradec ,69988649,31.01.2011,05.12.2011,,26.01.2012,,,,,30.05.2013,,01.11.2013,,21.06.2014
,Hradec,Územní plán,Změna č. 2 Územního plánu,973891950558,18.05.2022,,,18.05.2022,,,,,17.05.2023,28.06.2023,10.10.2023,18.12.2023,14.03.2024
Lčovice,,Územní plán,Územní plán Lčovice,79612367,29.08.2008,05.11.2009,,29.01.2010,,,,,13.05.2010,,26.07.2010,18.02.2011,12.03.2011
,Lčovice,Územní plán,Změna č. 3 ÚP,7961236703,30.12.2019,,,,,,,,,,,,17.07.2021
,Lčovice,Územní plán,Změna č. 1 ÚP,7961236701,08.03.2018,,,,,,,,,,,,29.09.2018
,Lčovice,Územní plán,Změna č. 2 ÚP,7961236702,08.03.2018,,,,,,,,,,,,29.09.2018
Staňkov,,Územní plán,Územní plán Staňkov,48138064,26.02.2010,20.12.2010,30.01.2011,18.05.2011,,,,17.08.2011,18.10.2011,15.12.2011,02.08.2012,08.04.2013,23.04.2013
Paceřice,,Územní plán,Územní plán Paceřice,43691653,14.04.2003,11.07.2005,,13.03.2006,,,,,30.04.2007,,05.10.2007,30.10.2007,14.11.2007
Dobronín,,Územní plán,Územní plán Dobronín,77423822,27.12.2013,,,15.12.2014,,,,,,,,,21.09.2017
,Dobronín,Územní plán,Změna č. 1 ÚP Dobronín,7742382201,07.09.2020,,,,,,,,,,,,10.07.2021
,Dobronín,Územní plán,Změna č. 2 ÚP Dobronín,973891953280,,,,12.12.2022,,,,,,,,,27.05.2025
Dobříň,,Územní plán,Územní plán Dobříń,31960696,31.01.2007,03.12.2008,02.01.2009,18.02.2009,,,,10.07.2009,17.09.2009,15.08.2011,02.06.2011,22.11.2011,07.12.2011
,Dobříň,Územní plán,Změna č.1 územního plánu Dobříň,3196069601,04.04.2022,,,19.09.2022,,,,,,,,,07.02.2024
Pištín,,Územní plán,Územní plán Pištín,47330874,02.08.2006,30.09.2008,,27.12.2008,,,,,20.01.2010,,06.01.2011,31.10.2011,28.11.2011
,Pištín,Územní plán,Změna č. 1 ÚP Pištín,4733087401,26.01.2017,,,07.12.2015,,,,,,,,,03.09.2019
,Pištín,Územní plán,Změna č. 2 ÚP Pištín,4733087403,09.05.2018,,,,,,,,,,,,
Čejkovice,,Územní plán,Územní plán Čejkovice,31760806,11.07.2006,03.09.2007,,18.03.2008,,,,,21.11.2008,,18.06.2009,08.04.2010,23.04.2010
,Čejkovice,Územní plán,Změna č. 1 ÚP Čejkovice,3176080601,18.04.2013,,,17.02.2015,,,,,,,,,29.05.2019
Onšov,,Územní plán,Územní plán Onšov,86602418,07.04.2005,08.05.2005,,23.09.2005,,,,,15.04.2008,,21.10.2008,29.01.2009,24.02.2009
Knínice,,Územní plán,Územní plán Knínice,44814700,07.12.2006,07.06.2007,,07.09.2007,,,,,15.04.2008,,08.09.2008,12.02.2009,08.03.2009
,Knínice,Územní plán,Změna č. 1 ÚP Knínice,4481470001,,,,30.12.2021,,,,,,,,,26.05.2022
Horní Cerekev,,Územní plán,Územní plán Horní Cerekev,8999271,21.11.2007,08.01.2008,,11.02.2009,,,,,03.02.2010,,16.07.2010,06.10.2010,29.10.2010
,Horní Cerekev,Územní plán,Změna č. 1 ÚP Horní Cerekev,8999271001,22.06.2011,31.10.2011,,15.02.2012,,,,,19.04.2012,,20.08.2012,21.11.2012,13.12.2012
,Horní Cerekev,Územní plán,Změna č. 3 ÚP Horní Cerekev,8999271002,20.02.2013,,,11.12.2013,,,,,,,,,03.12.2016
,Horní Cerekev,Územní plán,Změna č. 2 ÚP Horní Cerekev,8999271003,16.11.2011,,,20.06.2012,,,,,,,,,04.07.2014
,Horní Cerekev,Územní plán,Změna č. 4 ÚP Horní Cerekev,8999271004,21.09.2016,,,22.11.2017,,,,,,,,,28.03.2025
,Horní Cerekev,Územní plán,Změna č. 5 ÚP Horní Cerekev,8999271005,28.07.2021,,,15.09.2021,,,,,,,,,09.07.2022
Vráto,,Územní plán,Územní plán Vráto,52863711,06.02.2008,10.08.2009,,07.10.2009,,,,,04.02.2010,,10.06.2010,14.10.2010,29.10.2010
,Vráto,Územní plán,Změna č. 2 ÚP Vráto,5286371102,07.11.2014,,,07.01.2015,,,,,,,,,20.10.2017
,Vráto,Územní plán,Změna č. 1 ÚP Vráto,5286371101,07.11.2014,,,07.01.2015,,,,,,,,09.09.2016,23.09.2016
,Vráto,Územní plán,Změna č. 3 ÚP Vráto,5286371103,07.10.2019,,,,,,,,,,,,11.11.2021
Ševětín,,Územní plán,Územní plán Ševětín,93433778,01.02.2007,23.02.2009,,21.05.2009,,,,,09.09.2009,,19.04.2010,30.09.2010,18.10.2010
,Ševětín,Územní plán,Změna č. 1 ÚP Ševětín,9343377801,15.12.2011,06.05.2012,,21.06.2012,,,,,15.10.2012,,18.12.2012,19.04.2013,04.05.2013
,Ševětín,Územní plán,Změna č. 4 ÚP Ševětín,9343377803,03.04.2018,,,25.06.2020,,,,,,,,,31.08.2021
,Ševětín,Územní plán,Změna č. 2 ÚP Ševětín,9343377802,11.12.2014,,,12.02.2015,,,,,,,,,16.04.2016
,Ševětín,Územní plán,Změna č. 3 ÚP Ševětín,9343377804,24.03.2016,,,25.05.2017,,,,,,,,,18.10.2018
,Ševětín,Územní plán,Změna č. 5 ÚP Ševětín,973891950259,26.02.2020,,,09.12.2021,,,,,,,,,04.10.2022
,Ševětín,Územní plán,Změna č. 6 ÚP Ševětín,973891950260,22.05.2020,,,25.06.2020,,,,,,,,,04.10.2022
Litvínovice,,Územní plán,Územní plán Litvínovice,52064150,25.04.2007,06.03.2009,,24.06.2009,,,,,06.04.2010,,12.05.2011,21.08.2014,09.09.2014
,Litvínovice,Územní plán,změna č. 6 územního plánu Litvínovice,5206415004,,,,16.12.2019,,,,,,,,,25.02.2020
,Litvínovice,Územní plán,ÚP Litvínovice - změna č. 2,5206415002,,,,20.06.2016,,,,,,,,,05.01.2018
,Litvínovice,Územní plán,ÚP Litvínovice - změna č. 1,5206415001,,,,20.06.2016,,,,,,,,,
,Litvínovice,Územní plán,Změna č. 3 územního plánu Litvínovice,5206415003,,,,11.02.2019,,,,,,,,,24.07.2019
,Litvínovice,Územní plán,Změna č. 4 územního plánu Litvínovice,5206415005,11.02.2019,,,14.10.2019,,,,,,,,,19.08.2022
,Litvínovice,Územní plán,Změna č. 5 územního plánu Litvínovice,5206415006,,,,14.10.2019,,,,,,,,,02.01.2021
Velká Losenice,,Územní plán,Územní plán Velká Losenice,89635210,19.06.2008,03.08.2009,,23.09.2009,,,,,23.07.2010,,24.09.2010,16.12.2010,05.01.2011
,Velká Losenice,Územní plán,Změna č. 1 ÚP Velká Losenice,8963521001,06.10.2011,22.02.2012,,23.03.2012,,,,,24.04.2012,,12.06.2012,13.08.2012,29.08.2012
,Velká Losenice,Územní plán,Změna č. 2 ÚP Velká Losenice,8963521003,20.02.2014,,,26.06.2014,,,,,,,,,09.05.2016
,Velká Losenice,Územní plán,Změna č. 3 ÚP Velká Losenice,8963521002,20.02.2014,,,27.11.2014,,,,,,,,,10.05.2016
,Velká Losenice,Územní plán,Změna č. 4 ÚP Velká Losenice,973891952219,,,,10.10.2023,,,,,,,,,
Vrbice,,Územní plán,Územní plán Vrbice,83716981,19.12.2008,05.11.2009,21.12.2009,31.07.2011,,,,,03.03.2012,,23.11.2012,07.03.2014,27.03.2014
,Vrbice,Územní plán,Změna č. 1 ÚP Vrbice,973891952096,23.06.2023,,,,,,,,,,,,
Brzkov,,Územní plán,Územní plán Brzkov,33547610,24.06.2008,30.06.2008,,20.09.2008,,,,,25.01.2010,,19.04.2010,,17.09.2016
,Brzkov,Územní plán,Změna č. 1 ÚP Brzkov,3354761001,30.11.2020,,,25.06.2021,,,,,,,,,16.11.2022
Budíkov,,Územní plán,Územní plán Budíkov,9852237,26.04.2007,30.06.2008,,17.09.2008,,,,,27.01.2010,,21.06.2010,15.11.2010,14.12.2010
,Budíkov,Územní plán,Změna č. 1 ÚP Budíkov,9852237001,30.11.2020,,,30.11.2020,,,,,,,,,27.07.2023
Čelistná,,Územní plán,Územní plán Čelistná,52051943,13.12.2007,10.07.2008,,02.09.2008,,,,,23.11.2009,,23.02.2010,31.08.2010,16.09.2010
,Čelistná,Územní plán,Změna č. 2 ÚP Čelistná,973891952038,13.09.2023,,,08.10.2023,,,,,,,,,
,Čelistná,Územní plán,Změna č. 3 ÚP Čelistná,973891952502,,,,03.12.2023,,,,,,,,,
Besednice,,Územní plán,Územní plán Besednice,99020020,19.04.2006,18.10.2007,,17.12.2007,,,,,10.04.2008,,15.08.2008,16.02.2009,04.03.2009
,Besednice,Územní plán,Změna č. 1 ÚP Besednice,9902002001,16.02.2009,04.03.2009,,27.04.2009,,,,,01.06.2009,,03.09.2009,23.11.2009,09.12.2009
,Besednice,Územní plán,Změna č. 3 ÚP Besednice,9902002003,14.02.2018,,,16.05.2018,,,,,,,,,01.10.2018
,Besednice,Územní plán,Změna č. 2 ÚP Besednice,9902002002,01.10.2012,,,23.09.2013,,,,,,,,,02.07.2016
,Besednice,Územní plán,Změna č. 4 ÚP Besednice,973891953104,17.10.2023,,,,,,,,,,,,
Koleč,,Územní plán,Územní plán Koleč,21615237,05.03.2007,15.09.2008,,26.02.2009,,,,,19.04.2010,,31.08.2010,28.11.2011,14.12.2011
,Koleč,Územní plán,Změna č. 1,2161523701,07.05.2012,08.10.2012,,10.12.2012,,,,,29.04.2013,,25.06.2013,13.02.2014,01.03.2014
,Koleč,Územní plán,Změna č. 2 ÚP Koleč,973891952384,25.05.2015,,,21.09.2015,,,,,,,,,27.12.2016
,Koleč,Územní plán,Změna č. 3 ÚP Koleč,973891952385,,,,12.12.2022,,,,,,,,,
Kmetiněves,,Územní plán,Územní plán Kmetiněves,99842469,28.11.2001,25.03.2004,,26.01.2005,,30.05.2005,,,07.09.2007,,,29.10.2008,14.11.2008
,Kmetiněves,Územní plán,Změna č. 1,9984246901,02.05.2012,,,07.10.2013,,,,,,,,,22.05.2015
,Kmetiněves,Územní plán,Změna č. 2 ÚP Kmetiněves,973891953173,01.08.2022,,,,,,,,,,,,
Pržno,,Územní plán,Územní plán Pržno,65028017,25.02.2009,30.03.2010,,30.06.2010,,,,,21.08.2013,,26.11.2013,01.10.2014,21.10.2014
,Pržno,Územní plán,Změna č. 1,6502801702,29.03.2017,,,31.08.2016,,,,,,,,,10.08.2018
Jablůnka,,Územní plán,Územní plán Jablůnka,33564395,19.11.2008,20.10.2009,,27.01.2010,,,,,20.02.2012,,19.06.2012,12.12.2012,25.01.2013
,Jablůnka,Územní plán,Změna č. 1,3356439501,,,,20.09.2017,,,,,,,,22.05.2019,22.06.2019
,Jablůnka,Územní plán,Změna č. 2,3356439502,08.07.2019,,,,,,,,,,,,01.01.2021
Senec,,Územní plán,Územní plán obce Senec,48031252,26.05.2004,23.02.2005,,24.08.2005,,01.11.2004,,,10.01.2008,,30.04.2008,04.02.2009,26.02.2009
Hovězí,,Územní plán,Územní plán Hovězí,3812809,16.12.2008,15.05.2009,,29.09.2009,,,,04.01.2012,19.01.2012,,11.06.2013,16.12.2014,01.01.2015
,Hovězí,Územní plán,Změna č. 1 ,3812809001,21.03.2017,09.06.2017,,19.09.2017,,,,31.10.2018,05.11.2018,,05.12.2018,26.03.2019,11.04.2019
,Hovězí,Územní plán,Změna č. 2 Územního plánu Hovězí,973891951555,13.12.2022,,,13.12.2022,,,,08.02.2023,08.02.2023,30.03.2023,23.05.2023,12.09.2023,11.10.2023
Karolinka,,Územní plán,Územní plán Karolinka ,51968020,19.11.2008,05.10.2009,,21.12.2009,,,,,24.01.2012,,12.06.2013,19.06.2014,05.07.2014
,Karolinka,Územní plán,Změna č. 1A ,5196802001,02.07.2018,,,13.05.2019,,,,,25.06.2019,,28.08.2019,20.09.2019,06.11.2019
,Karolinka,Územní plán,Změna č. 1B,5196802002,02.07.2018,,,13.05.2019,,,,,,,,,24.05.2022
Újezd,,Územní plán,Územní plán Újezd,13050479,12.03.2009,06.04.2009,25.05.2009,25.06.2009,,,,21.06.2010,26.10.2010,24.01.2012,03.02.2011,09.03.2012,30.03.2012
,Újezd,Územní plán,změna č. 1 územního plánu,1305047902,,,,17.12.2015,,,,14.01.2016,14.09.2016,02.03.2017,05.12.2016,09.03.2017,28.03.2017
,Újezd,Územní plán,změna č. 2 územního plánu,1305047903,,,,13.06.2019,,,,19.06.2019,02.07.2019,11.09.2019,06.09.2019,12.09.2019,28.09.2019
,Újezd,Územní plán,změna č. 3 územního plánu,1305047901,,09.09.2020,27.10.2020,19.11.2020,,,,03.02.2021,21.06.2021,09.03.2022,16.09.2021,24.03.2022,14.04.2022
,Újezd,Územní plán,Změna č. 4 územního plánu,973891954105,20.06.2024,,,20.06.2024,,,,,,,,,
Stašov,,Územní plán,Územní plán Stašov,41962832,05.03.2009,02.02.2010,,01.04.2010,,,,,11.11.2010,,28.02.2011,07.07.2011,26.07.2011
Dědice,,Územní plán,Územní plán Dědice,95637147,02.11.2007,03.06.2008,,15.08.2008,,,,,11.11.2010,,17.01.2011,28.06.2011,13.07.2011
Dešov,,Územní plán,Územní plán Dešov,95563905,29.05.2008,05.06.2008,,19.09.2009,,,,,13.10.2010,,18.04.2011,29.09.2011,14.10.2011
,Dešov,Územní plán,Změna č. 1 ÚP Dešov,9556390501,31.08.2012,,,25.04.2014,,,,,,,,,01.01.2016
,Dešov,Územní plán,Změna č. 2 ÚP Dešov,9556390502,12.04.2018,,,,,,,,,,,,23.11.2018
Dobrá Voda,,Územní plán,Územní plán Dobrá Voda,84046571,25.04.2007,17.09.2008,,19.05.2009,,,,,25.01.2010,,19.08.2011,21.09.2012,22.10.2012
Dudín,,Územní plán,Územní plán Dudín,52776735,26.03.2007,27.06.2008,,15.09.2008,,,,,15.12.2010,,,,07.12.2019
Herálec,,Územní plán,Územní plán Herálec (HB),33620852,26.06.2007,30.06.2008,,25.09.2008,,,,,20.01.2011,,31.05.2011,22.11.2011,07.12.2011
,Herálec,Územní plán,Změna č. 1 ÚP Herálec,3362085201,12.12.2012,,,24.04.2013,,,,,,,,,20.02.2014
,Herálec,Územní plán,Změna č. 2 ÚP Herálec,3362085202,24.03.2016,,,11.05.2016,,,,,,,,,12.06.2018
,Herálec,Územní plán,Změna č. 3 ÚP Herálec,3362085203,29.06.2016,,,16.11.2016,,,,,,,,,23.06.2017
,Herálec,Územní plán,Změna č. 4 ÚP Herálec,973891952288,,,,11.10.2023,,,,,,,,,
Hurtova Lhota,,Územní plán,Územní plán Hurtova Lhota,89829652,09.01.2008,23.06.2008,,13.08.2008,,,,,30.11.2009,,10.02.2010,07.07.2010,10.08.2010
,Hurtova Lhota,Územní plán,Změna č. 1 ÚP Hurtova Lhota,8982965201,25.01.2018,,,21.06.2018,,,,,,,,,07.07.2021
Hvozdná,,Územní plán,Územní plán Hvozdná,51003664,26.11.2007,18.12.2007,,18.02.2008,,,,01.07.2008,10.07.2008,12.01.2009,21.10.2008,25.06.2009,16.07.2009
,Hvozdná,Územní plán,Změna č. 1,5100366401,,29.04.2013,29.05.2013,24.06.2013,,,,,22.11.2016,12.01.2017,17.02.2017,,28.10.2017
Jilem,,Územní plán,Územní plán Jilem,14422244,02.04.2007,17.07.2008,,12.09.2008,,,,,30.06.2009,,28.08.2009,23.11.2009,08.12.2009
,Jilem,Územní plán,Změna č. 1 ÚP Jilem,1442224401,,,,04.11.2013,,,,,,,,,23.09.2016
,Jilem,Územní plán,Změna č. 2 ÚP Jilem,973891954035,,,,07.06.2023,,,,,,,,,31.12.2024
Kalhov,,Územní plán,Územní plán Kalhov,59339540,17.12.2004,27.06.2008,,15.09.2008,,,,,08.03.2010,,18.06.2010,15.11.2010,10.12.2010
Kaliště,,Územní plán,Územní plán Kaliště (JI),58503359,,,,17.09.2008,,,,,,,25.08.2009,05.11.2009,21.11.2009
,Kaliště,Územní plán,Změna č. 1 ÚP Kaliště,5850335901,02.12.2019,,,09.03.2022,,,,,,,,,18.08.2023
Kravaře,,Územní plán,Územní plán Kravaře,99158875,23.09.2009,14.04.2010,,16.06.2010,,,,,13.07.2011,,09.01.2012,26.11.2012,18.12.2012
,Kravaře,Územní plán,ÚP Kravaře - změna č. 1,9915887501,05.03.2014,,,27.08.2014,,,,,,,,,14.10.2015
,Kravaře,Územní plán,ÚP Kravaře - změna č. 2,9915887502,24.04.2019,,,11.09.2019,,,,,,,,,29.12.2022
,Kravaře,Územní plán,ÚP Kravaře - změna č. 3,973891950821,03.03.2021,,,,,,,,,,,,29.12.2022
,Kravaře,Územní plán,ÚP Kravaře - změna č. 4,973891953381,13.03.2024,,,,,,,,,,,,
,Kravaře,Územní plán,ÚP Kravaře - změna č. 5,973891953382,06.09.2023,,,,,,,,,,,,
,Kravaře,Územní plán,ÚP Kravaře - změna č. 6,973891953383,13.03.2024,,,,,,,,,,,,
,Kravaře,Územní plán,ÚP Kravaře - změna č. 7,973891954313,04.12.2024,,,04.12.2024,,,,,,,,,
Číhalín,,Územní plán,Územní plán Číhalín,38467043,04.04.2007,04.07.2007,,17.09.2007,,,,,08.09.2009,,05.11.2009,24.01.2010,11.02.2010
,Číhalín,Územní plán,Změna č. 3 ÚP Číhalín,3846704303,25.02.2018,,,25.02.2018,,,,,,,,,18.02.2020
,Číhalín,Územní plán,Změna č. 1 ÚP Číhalín,3846704301,07.05.2012,14.09.2012,,18.11.2012,,,,,,,,,02.06.2014
,Číhalín,Územní plán,Změna č. 2 ÚP Číhalín,3846704302,17.11.2014,,,14.09.2014,,,,,,,,,08.07.2016
,Číhalín,Územní plán,Změna č. 4 Územního plánu Číhalín,973891953755,,,,15.08.2022,,,,,,,,,17.07.2024
Čikov,,Územní plán,Územní plán Čikov,48971194,12.10.2006,13.07.2007,15.08.2007,05.09.2007,,,,20.10.2008,08.12.2008,06.02.2009,06.01.2010,08.03.2010,24.03.2010
Číměř,,Územní plán,Územní plán Číměř,57464235,13.03.2007,09.07.2007,,17.09.2007,,,,,06.01.2009,,27.04.2009,10.02.2010,03.03.2010
,Číměř,Územní plán,Změna č. 1 ÚP Číměř,5746423501,10.08.2015,,,21.03.2016,,,,,,,,,16.11.2017
,Číměř,Územní plán,Změna č. 2 Územního plánu Číměř,973891950903,,,,28.11.2022,,,,,,,,,14.07.2024
Hojanovice,,Územní plán,Územní plán Hojanovice,90739076,25.03.2007,01.08.2007,,17.09.2007,,,,,04.06.2008,,14.10.2008,22.01.2009,13.02.2009
,Hojanovice,Územní plán,Změna č. 1 ÚP Hojanovice,9073907601,18.05.2015,,,16.05.2016,,,,,,,,,03.10.2017
,Hojanovice,Územní plán,Změna č. 2 ÚP Hojanovice,9073907602,03.05.2019,,,,,,,,,,,,28.10.2019
,Hojanovice,Územní plán,Změna č. 3 ÚP Hojanovice,9073907603,28.05.2021,,,,,,,,,,,,01.08.2024
Hojkov,,Územní plán,Územní plán Hojkov,4140873,17.12.2004,23.07.2007,,25.09.2007,,,,,09.02.2009,,22.06.2009,17.06.2010,07.07.2010
,Hojkov,Územní plán,Změna č. 1 ÚP Hojkov,4140873001,15.07.2015,,,21.07.2018,,,,,,,,,03.11.2020
Horní Libochová,,Územní plán,Územní plán Horní Libochová,29146975,06.11.2006,17.07.2007,,12.09.2007,,,,,08.12.2008,,06.05.2009,25.07.2011,25.08.2011
Horní Rožínka,,Územní plán,Územní plán Horní Rožínka,55897158,,,,23.08.2007,,,,,,,02.07.2009,,28.04.2010
,Horní Rožínka,Územní plán,Změna č. 1 ÚP Horní Rožínka,973891954326,,,,12.05.2024,,,,,,,,,
Jasenice,,Územní plán,Územní plán Jasenice,47489565,19.03.2007,19.07.2007,29.08.2007,17.09.2007,,,,,08.12.2008,05.02.2009,10.05.2010,29.07.2010,31.08.2010
